Flight_ID,Airline,Aircraft_Type,Origin,Destination,Scheduled_Departure,Actual_Departure,Scheduled_Arrival,Actual_Arrival,Delay_Cause,Cancelled,Turnaround_Time_Minutes
AI1032,SpiceJet,A321,HYD,BOM,2025-07-02 08:00:00,2025-07-02 08:15:00,2025-07-02 09:00:00,2025-07-02 09:15:00,None,No,47
AI1033,Vistara,A320,CCU,DEL,2025-07-02 09:00:00,2025-07-02 09:45:00,2025-07-02 11:00:00,2025-07-02 11:45:00,None,No,35
AI1034,IndiGo,A320,CCU,HYD,2025-07-02 10:00:00,2025-07-02 10:10:00,2025-07-02 11:30:00,2025-07-02 11:30:00,Crew,No,43
AI1035,SpiceJet,B787,DEL,CCU,2025-07-02 11:00:00,2025-07-02 11:30:00,2025-07-02 13:30:00,2025-07-02 13:30:00,ATC,No,88
AI1036,Vistara,A320,MAA,DEL,2025-07-02 12:00:00,2025-07-02 12:00:00,2025-07-02 13:30:00,2025-07-02 13:40:00,Weather,No,38
AI1037,SpiceJet,B737,BOM,BLR,2025-07-02 13:00:00,2025-07-02 14:00:00,2025-07-02 14:30:00,2025-07-02 15:30:00,Technical,No,83
AI1038,Vistara,A320,BOM,BLR,2025-07-02 14:00:00,2025-07-02 14:00:00,2025-07-02 15:30:00,2025-07-02 15:35:00,None,No,63
AI1039,SpiceJet,A320,MAA,BOM,2025-07-02 15:00:00,2025-07-02 15:45:00,2025-07-02 17:30:00,2025-07-02 18:15:00,Crew,No,44
AI1040,SpiceJet,A321,HYD,CCU,2025-07-02 16:00:00,2025-07-02 17:00:00,2025-07-02 18:30:00,2025-07-02 18:30:00,Weather,No,49
AI1041,Air India,A321,CCU,HYD,2025-07-02 17:00:00,2025-07-02 17:00:00,2025-07-02 19:30:00,2025-07-02 19:30:00,Ground Ops,No,77
AI1042,Air India,A321,BOM,HYD,2025-07-02 18:00:00,2025-07-02 18:20:00,2025-07-02 19:30:00,2025-07-02 19:50:00,Technical,No,65
AI1043,IndiGo,B737,MAA,DEL,2025-07-02 19:00:00,2025-07-02 19:00:00,2025-07-02 21:00:00,2025-07-02 21:00:00,Technical,No,43
AI1044,Air India,B787,MAA,BOM,2025-07-02 20:00:00,2025-07-02 20:05:00,2025-07-02 22:00:00,2025-07-02 22:05:00,Weather,No,37
AI1045,Air India,A321,HYD,BOM,2025-07-02 21:00:00,2025-07-02 21:10:00,2025-07-02 22:00:00,2025-07-02 22:10:00,ATC,No,53
AI1046,Air India,A320,BLR,DEL,2025-07-02 22:00:00,2025-07-02 23:00:00,2025-07-03 00:00:00,2025-07-03 01:00:00,ATC,No,76
AI1047,IndiGo,A321,CCU,HYD,2025-07-02 23:00:00,2025-07-02 23:05:00,2025-07-03 02:00:00,2025-07-03 02:05:00,Technical,No,82
AI1048,SpiceJet,B787,BOM,MAA,2025-07-03 00:00:00,2025-07-03 00:20:00,2025-07-03 01:00:00,2025-07-03 01:20:00,ATC,No,80
AI1049,IndiGo,A320,CCU,BLR,2025-07-03 01:00:00,2025-07-03 01:00:00,2025-07-03 04:00:00,2025-07-03 04:00:00,Technical,No,39
AI1050,IndiGo,B787,DEL,BLR,2025-07-03 02:00:00,2025-07-03 02:30:00,2025-07-03 04:30:00,2025-07-03 05:00:00,Technical,No,32
AI1051,Air India,B787,CCU,HYD,2025-07-03 03:00:00,2025-07-03 03:00:00,2025-07-03 05:00:00,2025-07-03 05:20:00,Crew,No,45
AI1052,IndiGo,A321,CCU,DEL,2025-07-03 04:00:00,2025-07-03 04:20:00,2025-07-03 07:00:00,2025-07-03 07:20:00,Weather,No,74
AI1053,Vistara,B737,DEL,HYD,2025-07-03 05:00:00,2025-07-03 06:00:00,2025-07-03 06:00:00,2025-07-03 07:00:00,Weather,No,58
AI1054,SpiceJet,B787,CCU,BOM,2025-07-03 06:00:00,2025-07-03 06:00:00,2025-07-03 08:00:00,2025-07-03 08:00:00,Technical,No,71
AI1055,SpiceJet,A320,BLR,CCU,2025-07-03 07:00:00,2025-07-03 07:05:00,2025-07-03 10:00:00,2025-07-03 10:00:00,ATC,No,78
AI1056,Air India,B737,BOM,BLR,2025-07-03 08:00:00,2025-07-03 08:20:00,2025-07-03 09:30:00,2025-07-03 09:30:00,ATC,No,59
AI1057,SpiceJet,B737,HYD,BLR,2025-07-03 09:00:00,2025-07-03 09:10:00,2025-07-03 10:00:00,2025-07-03 10:10:00,Ground Ops,No,37
AI1058,Air India,A321,BOM,CCU,2025-07-03 10:00:00,2025-07-03 10:30:00,2025-07-03 12:30:00,2025-07-03 12:30:00,Crew,No,31
AI1059,IndiGo,B737,CCU,BLR,2025-07-03 11:00:00,2025-07-03 11:00:00,2025-07-03 12:30:00,2025-07-03 13:30:00,ATC,No,61
AI1060,Vistara,B787,HYD,BOM,2025-07-03 12:00:00,2025-07-03 12:30:00,2025-07-03 13:00:00,2025-07-03 13:30:00,Technical,No,83
AI1061,SpiceJet,A320,MAA,BOM,2025-07-03 13:00:00,2025-07-03 13:10:00,2025-07-03 16:00:00,2025-07-03 16:10:00,ATC,No,32
AI1062,SpiceJet,A320,BLR,DEL,2025-07-03 14:00:00,2025-07-03 14:45:00,2025-07-03 16:30:00,2025-07-03 17:15:00,None,No,47
AI1063,SpiceJet,A321,HYD,MAA,2025-07-03 15:00:00,2025-07-03 15:15:00,2025-07-03 16:30:00,2025-07-03 16:45:00,Weather,No,47
AI1064,Vistara,A320,BLR,MAA,2025-07-03 16:00:00,2025-07-03 16:20:00,2025-07-03 17:00:00,2025-07-03 17:00:00,Technical,No,67
AI1065,Vistara,B737,BOM,DEL,2025-07-03 17:00:00,2025-07-03 18:00:00,2025-07-03 18:30:00,2025-07-03 19:30:00,Technical,No,54
AI1066,Air India,A321,HYD,BLR,2025-07-03 18:00:00,2025-07-03 18:15:00,2025-07-03 21:00:00,2025-07-03 21:15:00,Crew,No,49
AI1067,Air India,A321,BLR,HYD,2025-07-03 19:00:00,2025-07-03 19:00:00,2025-07-03 21:30:00,2025-07-03 21:50:00,ATC,No,82
AI1068,IndiGo,B737,DEL,CCU,2025-07-03 20:00:00,2025-07-03 20:20:00,2025-07-03 21:00:00,2025-07-03 21:20:00,ATC,No,35
AI1069,IndiGo,B787,CCU,HYD,2025-07-03 21:00:00,2025-07-03 21:00:00,2025-07-03 23:00:00,2025-07-03 23:00:00,None,No,33
AI1070,Air India,A321,BLR,HYD,2025-07-03 22:00:00,2025-07-03 22:45:00,2025-07-04 00:00:00,2025-07-04 00:45:00,Ground Ops,Yes,47
AI1071,Vistara,B737,CCU,BLR,2025-07-03 23:00:00,2025-07-03 23:30:00,2025-07-04 01:00:00,2025-07-04 01:30:00,None,No,84
AI1072,Vistara,A321,CCU,MAA,2025-07-04 00:00:00,2025-07-04 00:45:00,2025-07-04 02:00:00,2025-07-04 02:45:00,None,Yes,69
AI1073,IndiGo,A320,BLR,BOM,2025-07-04 01:00:00,2025-07-04 01:15:00,2025-07-04 02:30:00,2025-07-04 02:45:00,None,No,54
AI1074,SpiceJet,A321,BLR,HYD,2025-07-04 02:00:00,2025-07-04 02:30:00,2025-07-04 03:30:00,2025-07-04 04:00:00,Ground Ops,No,61
AI1075,IndiGo,B787,HYD,CCU,2025-07-04 03:00:00,2025-07-04 03:00:00,2025-07-04 04:00:00,2025-07-04 04:00:00,Technical,No,31
AI1076,Vistara,A321,BOM,BLR,2025-07-04 04:00:00,2025-07-04 04:30:00,2025-07-04 06:30:00,2025-07-04 06:30:00,None,No,85
AI1077,IndiGo,B787,DEL,CCU,2025-07-04 05:00:00,2025-07-04 05:00:00,2025-07-04 06:30:00,2025-07-04 06:30:00,Weather,No,54
AI1078,IndiGo,A321,BOM,BLR,2025-07-04 06:00:00,2025-07-04 06:15:00,2025-07-04 09:00:00,2025-07-04 09:15:00,None,No,54
AI1079,Air India,A320,CCU,DEL,2025-07-04 07:00:00,2025-07-04 07:05:00,2025-07-04 08:00:00,2025-07-04 08:00:00,None,No,58
AI1080,SpiceJet,B737,HYD,CCU,2025-07-04 08:00:00,2025-07-04 08:10:00,2025-07-04 11:00:00,2025-07-04 11:10:00,Technical,No,32
AI1081,IndiGo,A320,BLR,MAA,2025-07-04 09:00:00,2025-07-04 09:20:00,2025-07-04 11:00:00,2025-07-04 11:20:00,Ground Ops,Yes,44
AI1082,SpiceJet,B737,DEL,HYD,2025-07-04 10:00:00,2025-07-04 10:20:00,2025-07-04 12:30:00,2025-07-04 12:50:00,Crew,No,43
AI1083,Vistara,B737,BOM,CCU,2025-07-04 11:00:00,2025-07-04 11:00:00,2025-07-04 13:00:00,2025-07-04 13:00:00,Crew,No,54
AI1084,IndiGo,B737,BLR,MAA,2025-07-04 12:00:00,2025-07-04 12:45:00,2025-07-04 13:00:00,2025-07-04 13:45:00,ATC,No,41
AI1085,Air India,A320,CCU,MAA,2025-07-04 13:00:00,2025-07-04 13:00:00,2025-07-04 15:00:00,2025-07-04 15:00:00,Crew,No,72
AI1086,Vistara,B737,BLR,HYD,2025-07-04 14:00:00,2025-07-04 14:00:00,2025-07-04 15:30:00,2025-07-04 16:15:00,Ground Ops,No,57
AI1087,SpiceJet,A321,HYD,DEL,2025-07-04 15:00:00,2025-07-04 15:45:00,2025-07-04 16:30:00,2025-07-04 17:15:00,ATC,No,64
AI1088,Air India,B737,MAA,DEL,2025-07-04 16:00:00,2025-07-04 16:00:00,2025-07-04 18:30:00,2025-07-04 18:30:00,Crew,No,33
AI1089,Air India,A320,BOM,DEL,2025-07-04 17:00:00,2025-07-04 17:20:00,2025-07-04 20:00:00,2025-07-04 20:00:00,Technical,No,72
AI1090,Air India,B787,MAA,CCU,2025-07-04 18:00:00,2025-07-04 18:10:00,2025-07-04 20:30:00,2025-07-04 20:30:00,Weather,No,49
AI1091,SpiceJet,A320,CCU,DEL,2025-07-04 19:00:00,2025-07-04 19:45:00,2025-07-04 20:00:00,2025-07-04 20:45:00,Crew,No,32
AI1092,Vistara,B787,HYD,MAA,2025-07-04 20:00:00,2025-07-04 20:00:00,2025-07-04 22:30:00,2025-07-04 22:30:00,ATC,No,64
AI1093,IndiGo,A320,BLR,DEL,2025-07-04 21:00:00,2025-07-04 22:00:00,2025-07-04 23:30:00,2025-07-05 00:30:00,Weather,No,78
AI1094,Air India,A320,BOM,BLR,2025-07-04 22:00:00,2025-07-04 22:00:00,2025-07-04 23:00:00,2025-07-04 23:15:00,None,No,52
AI1095,IndiGo,A321,MAA,CCU,2025-07-04 23:00:00,2025-07-04 23:05:00,2025-07-05 01:30:00,2025-07-05 01:35:00,Crew,No,89
AI1096,Vistara,B787,BOM,BLR,2025-07-05 00:00:00,2025-07-05 00:30:00,2025-07-05 02:00:00,2025-07-05 02:30:00,Crew,No,31
AI1097,SpiceJet,A321,MAA,CCU,2025-07-05 01:00:00,2025-07-05 01:30:00,2025-07-05 02:00:00,2025-07-05 02:30:00,Weather,No,88
AI1098,Vistara,A321,BLR,HYD,2025-07-05 02:00:00,2025-07-05 03:00:00,2025-07-05 03:00:00,2025-07-05 03:00:00,Weather,No,68
AI1099,Vistara,A321,CCU,HYD,2025-07-05 03:00:00,2025-07-05 03:10:00,2025-07-05 04:30:00,2025-07-05 04:40:00,None,No,78
AI1100,Air India,B737,HYD,BOM,2025-07-05 04:00:00,2025-07-05 04:20:00,2025-07-05 05:30:00,2025-07-05 05:50:00,Weather,No,87
AI1101,SpiceJet,A320,HYD,CCU,2025-07-05 05:00:00,2025-07-05 05:00:00,2025-07-05 07:00:00,2025-07-05 08:00:00,None,No,51
AI1102,SpiceJet,B737,DEL,CCU,2025-07-05 06:00:00,2025-07-05 06:00:00,2025-07-05 07:30:00,2025-07-05 07:30:00,None,No,89
AI1103,SpiceJet,A321,DEL,CCU,2025-07-05 07:00:00,2025-07-05 07:15:00,2025-07-05 10:00:00,2025-07-05 10:00:00,Ground Ops,No,83
AI1104,IndiGo,B787,CCU,BLR,2025-07-05 08:00:00,2025-07-05 08:20:00,2025-07-05 11:00:00,2025-07-05 11:20:00,ATC,Yes,88
AI1105,SpiceJet,B787,CCU,BLR,2025-07-05 09:00:00,2025-07-05 09:00:00,2025-07-05 11:30:00,2025-07-05 11:30:00,Technical,No,46
AI1106,Air India,A321,MAA,BOM,2025-07-05 10:00:00,2025-07-05 10:00:00,2025-07-05 11:00:00,2025-07-05 11:45:00,Technical,No,81
AI1107,IndiGo,B787,MAA,BOM,2025-07-05 11:00:00,2025-07-05 12:00:00,2025-07-05 14:00:00,2025-07-05 15:00:00,Crew,No,78
AI1108,IndiGo,A321,BLR,DEL,2025-07-05 12:00:00,2025-07-05 12:10:00,2025-07-05 15:00:00,2025-07-05 15:00:00,Crew,No,67
AI1109,Vistara,B737,CCU,BOM,2025-07-05 13:00:00,2025-07-05 13:00:00,2025-07-05 14:00:00,2025-07-05 14:00:00,ATC,No,43
AI1110,Vistara,A321,BOM,MAA,2025-07-05 14:00:00,2025-07-05 15:00:00,2025-07-05 15:00:00,2025-07-05 16:00:00,None,No,78
AI1111,IndiGo,A320,MAA,HYD,2025-07-05 15:00:00,2025-07-05 15:00:00,2025-07-05 16:30:00,2025-07-05 16:40:00,None,No,31
AI1112,SpiceJet,A321,DEL,HYD,2025-07-05 16:00:00,2025-07-05 16:05:00,2025-07-05 18:00:00,2025-07-05 18:00:00,Weather,No,51
AI1113,Air India,A320,HYD,BLR,2025-07-05 17:00:00,2025-07-05 17:05:00,2025-07-05 20:00:00,2025-07-05 20:00:00,ATC,No,76
AI1114,Vistara,A320,BLR,MAA,2025-07-05 18:00:00,2025-07-05 18:00:00,2025-07-05 20:30:00,2025-07-05 20:30:00,Ground Ops,No,83
AI1115,Vistara,B787,HYD,DEL,2025-07-05 19:00:00,2025-07-05 19:45:00,2025-07-05 21:00:00,2025-07-05 21:45:00,Technical,No,69
AI1116,IndiGo,B737,MAA,HYD,2025-07-05 20:00:00,2025-07-05 20:10:00,2025-07-05 23:00:00,2025-07-05 23:10:00,Ground Ops,No,57
AI1117,SpiceJet,B787,HYD,MAA,2025-07-05 21:00:00,2025-07-05 21:00:00,2025-07-05 22:30:00,2025-07-05 22:30:00,Weather,No,85
AI1118,SpiceJet,A321,BLR,CCU,2025-07-05 22:00:00,2025-07-05 22:00:00,2025-07-05 23:00:00,2025-07-05 23:20:00,Crew,Yes,57
AI1119,Air India,B787,BLR,CCU,2025-07-05 23:00:00,2025-07-05 23:10:00,2025-07-06 01:00:00,2025-07-06 01:10:00,Weather,No,80
AI1120,Vistara,B787,DEL,HYD,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 01:00:00,2025-07-06 01:10:00,Ground Ops,No,76
AI1121,SpiceJet,B787,HYD,DEL,2025-07-06 01:00:00,2025-07-06 01:45:00,2025-07-06 04:00:00,2025-07-06 04:00:00,Crew,No,89
AI1122,Vistara,B787,DEL,BOM,2025-07-06 02:00:00,2025-07-06 02:00:00,2025-07-06 04:30:00,2025-07-06 04:30:00,Weather,No,77
AI1123,SpiceJet,A321,HYD,DEL,2025-07-06 03:00:00,2025-07-06 03:20:00,2025-07-06 04:00:00,2025-07-06 04:20:00,Technical,No,78
AI1124,Air India,A321,BOM,BLR,2025-07-06 04:00:00,2025-07-06 04:10:00,2025-07-06 06:30:00,2025-07-06 06:40:00,None,No,33
AI1125,IndiGo,A320,CCU,BLR,2025-07-06 05:00:00,2025-07-06 06:00:00,2025-07-06 08:00:00,2025-07-06 09:00:00,None,No,81
AI1126,Air India,B787,DEL,BLR,2025-07-06 06:00:00,2025-07-06 06:00:00,2025-07-06 09:00:00,2025-07-06 09:00:00,Weather,No,36
AI1127,Vistara,B787,MAA,BLR,2025-07-06 07:00:00,2025-07-06 07:05:00,2025-07-06 10:00:00,2025-07-06 10:05:00,Ground Ops,No,65
AI1128,Vistara,B737,MAA,HYD,2025-07-06 08:00:00,2025-07-06 08:00:00,2025-07-06 10:00:00,2025-07-06 10:00:00,ATC,No,54
AI1129,Vistara,A320,MAA,DEL,2025-07-06 09:00:00,2025-07-06 09:05:00,2025-07-06 10:00:00,2025-07-06 10:05:00,Ground Ops,No,76
AI1130,IndiGo,A321,CCU,BOM,2025-07-06 10:00:00,2025-07-06 10:15:00,2025-07-06 13:00:00,2025-07-06 13:15:00,Ground Ops,No,89
AI1131,Air India,B737,DEL,BLR,2025-07-06 11:00:00,2025-07-06 11:00:00,2025-07-06 12:30:00,2025-07-06 12:30:00,ATC,Yes,73
AI1132,Vistara,B737,DEL,HYD,2025-07-06 12:00:00,2025-07-06 13:00:00,2025-07-06 13:30:00,2025-07-06 13:30:00,Crew,No,48
AI1133,Vistara,A320,DEL,MAA,2025-07-06 13:00:00,2025-07-06 13:00:00,2025-07-06 14:00:00,2025-07-06 14:00:00,ATC,No,84
AI1134,Air India,B787,BOM,DEL,2025-07-06 14:00:00,2025-07-06 14:20:00,2025-07-06 16:30:00,2025-07-06 16:50:00,Ground Ops,No,64
AI1135,IndiGo,A321,HYD,CCU,2025-07-06 15:00:00,2025-07-06 15:00:00,2025-07-06 17:30:00,2025-07-06 17:30:00,Crew,No,59
AI1136,Air India,B737,MAA,BOM,2025-07-06 16:00:00,2025-07-06 16:00:00,2025-07-06 19:00:00,2025-07-06 19:00:00,ATC,Yes,57
AI1137,Vistara,A320,BOM,BLR,2025-07-06 17:00:00,2025-07-06 17:00:00,2025-07-06 20:00:00,2025-07-06 20:00:00,ATC,No,66
AI1138,Vistara,A321,BLR,MAA,2025-07-06 18:00:00,2025-07-06 18:30:00,2025-07-06 20:30:00,2025-07-06 21:00:00,Ground Ops,No,76
AI1139,Air India,A320,BLR,CCU,2025-07-06 19:00:00,2025-07-06 19:15:00,2025-07-06 21:00:00,2025-07-06 21:15:00,Technical,No,66
AI1140,IndiGo,A321,BLR,CCU,2025-07-06 20:00:00,2025-07-06 20:15:00,2025-07-06 21:00:00,2025-07-06 21:15:00,Technical,No,79
AI1141,SpiceJet,A320,HYD,DEL,2025-07-06 21:00:00,2025-07-06 21:00:00,2025-07-06 23:30:00,2025-07-06 23:45:00,Crew,Yes,63
AI1142,IndiGo,B737,CCU,MAA,2025-07-06 22:00:00,2025-07-06 22:00:00,2025-07-06 23:00:00,2025-07-06 23:45:00,None,No,46
AI1143,Vistara,B737,BOM,MAA,2025-07-06 23:00:00,2025-07-06 23:10:00,2025-07-07 01:30:00,2025-07-07 01:30:00,None,No,40
AI1144,IndiGo,B737,MAA,BOM,2025-07-07 00:00:00,2025-07-07 00:30:00,2025-07-07 01:30:00,2025-07-07 01:30:00,None,No,54
AI1145,Air India,A321,CCU,BLR,2025-07-07 01:00:00,2025-07-07 01:00:00,2025-07-07 02:30:00,2025-07-07 02:30:00,Crew,No,59
AI1146,SpiceJet,B787,HYD,MAA,2025-07-07 02:00:00,2025-07-07 02:05:00,2025-07-07 03:30:00,2025-07-07 03:35:00,Ground Ops,No,77
AI1147,SpiceJet,A321,CCU,DEL,2025-07-07 03:00:00,2025-07-07 03:30:00,2025-07-07 04:30:00,2025-07-07 04:30:00,ATC,Yes,89
AI1148,Air India,A320,MAA,CCU,2025-07-07 04:00:00,2025-07-07 04:10:00,2025-07-07 05:30:00,2025-07-07 05:40:00,Weather,No,45
AI1149,IndiGo,A320,DEL,CCU,2025-07-07 05:00:00,2025-07-07 05:05:00,2025-07-07 06:30:00,2025-07-07 06:35:00,Weather,No,38
AI1150,Vistara,A320,BLR,CCU,2025-07-07 06:00:00,2025-07-07 07:00:00,2025-07-07 07:30:00,2025-07-07 07:30:00,Ground Ops,No,88
AI1151,SpiceJet,A321,HYD,BLR,2025-07-07 07:00:00,2025-07-07 07:15:00,2025-07-07 09:30:00,2025-07-07 09:45:00,Crew,No,30
AI1152,IndiGo,A321,DEL,MAA,2025-07-07 08:00:00,2025-07-07 08:10:00,2025-07-07 09:30:00,2025-07-07 09:40:00,None,No,47
AI1153,SpiceJet,B737,DEL,BOM,2025-07-07 09:00:00,2025-07-07 09:00:00,2025-07-07 11:30:00,2025-07-07 11:30:00,ATC,No,81
AI1154,Air India,A321,BOM,BLR,2025-07-07 10:00:00,2025-07-07 10:00:00,2025-07-07 13:00:00,2025-07-07 13:00:00,Weather,No,73
AI1155,Air India,B737,BLR,HYD,2025-07-07 11:00:00,2025-07-07 12:00:00,2025-07-07 12:00:00,2025-07-07 12:00:00,None,No,47
AI1156,IndiGo,B737,BLR,BOM,2025-07-07 12:00:00,2025-07-07 12:45:00,2025-07-07 13:00:00,2025-07-07 13:00:00,ATC,No,35
AI1157,SpiceJet,B737,MAA,BOM,2025-07-07 13:00:00,2025-07-07 13:15:00,2025-07-07 15:00:00,2025-07-07 15:00:00,ATC,No,45
AI1158,Air India,B787,HYD,MAA,2025-07-07 14:00:00,2025-07-07 14:00:00,2025-07-07 16:30:00,2025-07-07 16:50:00,None,No,79
AI1159,Air India,A320,CCU,MAA,2025-07-07 15:00:00,2025-07-07 15:00:00,2025-07-07 18:00:00,2025-07-07 18:00:00,Ground Ops,No,64
AI1160,Air India,B737,DEL,MAA,2025-07-07 16:00:00,2025-07-07 16:00:00,2025-07-07 17:30:00,2025-07-07 18:15:00,Technical,No,48
AI1161,SpiceJet,B737,HYD,CCU,2025-07-07 17:00:00,2025-07-07 17:00:00,2025-07-07 19:30:00,2025-07-07 19:30:00,Technical,No,51
AI1162,Air India,A321,DEL,MAA,2025-07-07 18:00:00,2025-07-07 18:00:00,2025-07-07 20:00:00,2025-07-07 20:00:00,Ground Ops,No,66
AI1163,Vistara,B737,BOM,HYD,2025-07-07 19:00:00,2025-07-07 19:15:00,2025-07-07 22:00:00,2025-07-07 22:00:00,Weather,No,55
AI1164,Vistara,A321,CCU,DEL,2025-07-07 20:00:00,2025-07-07 20:00:00,2025-07-07 22:00:00,2025-07-07 22:00:00,Ground Ops,No,32
AI1165,Air India,A320,CCU,BOM,2025-07-07 21:00:00,2025-07-07 21:00:00,2025-07-07 23:00:00,2025-07-07 23:00:00,ATC,No,69
AI1166,Air India,B737,BLR,HYD,2025-07-07 22:00:00,2025-07-07 22:00:00,2025-07-08 01:00:00,2025-07-08 01:00:00,Ground Ops,No,47
AI1167,SpiceJet,A321,DEL,BOM,2025-07-07 23:00:00,2025-07-07 23:05:00,2025-07-08 02:00:00,2025-07-08 02:05:00,Technical,No,53
AI1168,Air India,A320,DEL,CCU,2025-07-08 00:00:00,2025-07-08 00:30:00,2025-07-08 01:30:00,2025-07-08 01:30:00,Weather,No,47
